df1_index,df2_index,Song Name (df1),Artist (df1),Song Name (df2),Artist (df2)
866,386,Take You Down,Chris Brown,Now & Forever (feat. SONPUB & 向井太一),香取慎吾
867,2337,Mercy,Duffy,All About Us,He Is We
868,2337,I Luv Your Girl,The-Dream,All About Us,He Is We
869,2337,Heaven Sent,Keyshia Cole,All About Us,He Is We
870,2337,If I Never See Your Face Again,Maroon 5 Featuring Rihanna,All About Us,He Is We
871,2337,Good Time,Alan Jackson,All About Us,He Is We
872,2337,Lolli Lolli (Pop That Body),"Three 6 Mafia Featuring Project Pat, Young D & Superpower",All About Us,He Is We
873,2337,The Time Of My Life,David Cook,All About Us,He Is We
874,1811,Should've Said No,Taylor Swift,22,Taylor Swift
875,1439,When I Grow Up,The Pussycat Dolls,When I Grow Up,The Pussycat Dolls
876,386,Put On,Young Jeezy Featuring Kanye West,Now & Forever (feat. SONPUB & 向井太一),香取慎吾
877,2319,Hot N Cold,Katy Perry,Part Of Me,Katy Perry
878,2337,Bartender Song,Rehab,All About Us,He Is We
879,2337,All Summer Long,Kid Rock,All About Us,He Is We
880,2337,She Never Cried In Front Of Me,Toby Keith,All About Us,He Is We
881,2337,Don't Think I Don't Think About It,Darius Rucker,All About Us,He Is We
882,2337,Waitin' On A Woman,Brad Paisley,All About Us,He Is We
883,1438,Paper Planes,M.I.A.,Do It Again,Pia Mia
884,2337,Need U Bad,Jazmine Sullivan,All About Us,He Is We
885,2337,Do You Believe Me Now,Jimmy Wayne,All About Us,He Is We
886,2337,Can't Believe It,T-Pain Featuring Lil Wayne,All About Us,He Is We
887,2337,Swing,Savage Featuring Soulja Boy Tell'em,All About Us,He Is We
888,2337,Tattoo,Jordin Sparks,All About Us,He Is We
889,406,Superstar,Lupe Fiasco Featuring Matthew Santos,SUPERSTAR,真之介
890,2337,Won't Go Home Without You,Maroon 5,All About Us,He Is We
891,2337,I Remember,Keyshia Cole,All About Us,He Is We
892,2337,Falsetto,The-Dream,All About Us,He Is We
893,2337,New Soul,Yael Naim,All About Us,He Is We
894,2337,Nine In The Afternoon,Panic! At The Disco,All About Us,He Is We
895,386,What About Now,Daughtry,Now & Forever (feat. SONPUB & 向井太一),香取慎吾
896,2337,I Still Miss You,Keith Anderson,All About Us,He Is We
897,2130,Just Dance,Lady Gaga Featuring Colby O'Donis,Just Dance,Lady Gaga
898,2337,My Life,The Game Featuring Lil Wayne,All About Us,He Is We
899,2337,Shattered (Turn The Car Around),O.A.R.,All About Us,He Is We
900,2337,Use Somebody,Kings Of Leon,All About Us,He Is We
901,2095,I'm Yours,Jason Mraz,I'm Yours,Jason Mraz
902,165,Poker Face,Lady Gaga,Poker Face,Lady Gaga
903,2337,Second Chance,Shinedown,All About Us,He Is We
904,2337,Don't Trust Me,3OH!3,All About Us,He Is We
905,1133,Love Story,Taylor Swift,Love It If We Made It,The 1975
906,386,You Found Me,The Fray,Now & Forever (feat. SONPUB & 向井太一),香取慎吾
907,1599,I Know You Want Me (Calle Ocho),Pitbull,Give Me Everything,Pitbull
908,2326,Boom Boom Pow,The Black Eyed Peas,Boom Boom Pow,The Black Eyed Peas
909,1811,You Belong With Me,Taylor Swift,22,Taylor Swift
910,2337,Gives You Hell,The All-American Rejects,All About Us,He Is We
911,2337,Halo,Beyonce,All About Us,He Is We
912,2337,Knock You Down,Keri Hilson Featuring Kanye West & Ne-Yo,All About Us,He Is We
913,2130,Just Dance,Lady Gaga Featuring Colby O'Donis,Just Dance,Lady Gaga
914,2062,The Climb,Miley Cyrus,The Climb,Miley Cyrus
915,2337,Dead And Gone,T.I. Featuring Justin Timberlake,All About Us,He Is We
916,2337,Kiss Me Thru The Phone,Soulja Boy Tell 'em Featuring Sammie,All About Us,He Is We
917,2337,Day 'N' Nite,Kid Cudi,All About Us,He Is We
918,1624,Blame It,Jamie Foxx Featuring T-Pain,Playing The Blame Game,You Me At Six
919,2337,I Gotta Feeling,The Black Eyed Peas,All About Us,He Is We
920,2337,Right Round,Flo Rida,All About Us,He Is We
921,1269,Please Don't Leave Me,P!nk,So What,P!nk
922,2337,That's Not My Name,The Ting Tings,All About Us,He Is We
923,2337,Good Girls Go Bad,Cobra Starship Featuring Leighton Meester,All About Us,He Is We
924,2337,Heartless,Kanye West,All About Us,He Is We
925,1791,My Life Would Suck Without You,Kelly Clarkson,Because of You,Kelly Clarkson
926,2337,No Surprise,Daughtry,All About Us,He Is We
927,2337,Best I Ever Had,Drake,All About Us,He Is We
928,2337,Fallin' For You,Colbie Caillat,All About Us,He Is We
929,386,Down,Jay Sean Featuring Lil Wayne,Now & Forever (feat. SONPUB & 向井太一),香取慎吾
930,2319,Waking Up In Vegas,Katy Perry,Part Of Me,Katy Perry
931,2337,Pretty Wings,Maxwell,All About Us,He Is We
932,2337,Throw It In The Bag,Fabolous Featuring The-Dream,All About Us,He Is We
933,1599,Hotel Room Service,Pitbull,Give Me Everything,Pitbull
934,2337,Break Up,Mario Featuring Gucci Mane & Sean Garrett,All About Us,He Is We
935,1269,Sober,P!nk,So What,P!nk
936,2337,Mad,Ne-Yo,All About Us,He Is We
937,2337,Turnin Me On,Keri Hilson Featuring Lil Wayne,All About Us,He Is We
938,2337,LoveGame,Lady Gaga,All About Us,He Is We
939,2337,Battlefield,Jordin Sparks,All About Us,He Is We
940,1636,I Run To You,Lady Antebellum,If You Run,You Me At Six
941,2337,Not Meant To Be,Theory Of A Deadman,All About Us,He Is We
942,2337,Fire Burning,Sean Kingston,All About Us,He Is We
943,2337,Obsessed,Mariah Carey,All About Us,He Is We
944,2337,One Time,Justin Bieber,All About Us,He Is We
945,2337,Sweet Dreams,Beyonce,All About Us,He Is We
946,2337,Circus,Britney Spears,All About Us,He Is We
947,2337,Beautiful,Akon Featuring Colby O'Donis & Kardinal Offishall,All About Us,He Is We
948,2337,Diva,Beyonce,All About Us,He Is We
949,2337,Rockin' That Thang,The-Dream,All About Us,He Is We
950,2337,It Won't Be Like This For Long,Darius Rucker,All About Us,He Is We
951,2337,If Today Was Your Last Day,Nickelback,All About Us,He Is We
952,386,"1, 2, 3, 4",Plain White T's,Now & Forever (feat. SONPUB & 向井太一),香取慎吾
953,1635,How Do You Sleep?,Jesse McCartney Featuring Ludacris,You’ve Made Your Bed (So Sleep In It),You Me At Six
954,2337,I'm On A Boat,The Lonely Island Featuring T-Pain,All About Us,He Is We
955,2337,It's America,Rodney Atkins,All About Us,He Is We
