Year,Song Name,Artist,Number of Weeks On Top,Spotify ID
2001,I Do!!,Toya,31,0NdEFLohwfZpyncrBCq1ZY
2001,Ride Wit Me,Nelly Featuring City Spud,29,3Gf5nttwcX9aaSQXRWidEZ
2001,Peaches & Cream,112,29,2SLZ2rX5773RS16mcqBxG7
2001,Where The Party At,Jagged Edge With Nelly,29,5mNV8Mz59bzyuQ53gTw0c0
2001,Fallin',Alicia Keys,29,0KQx6HOpJueiSkztcS0r7D
2001,I Hope You Dance,Lee Ann Womack,28,65B1tEOv5W294uCKbmEcFV
2001,What Would You Do?,City High,28,1tJkic0TURTCXw3rBhYgWu
2001,South Side,Moby Featuring Gwen Stefani,27,2rRgAFKn7DGksrNAlYe5yB
2001,Angel,Shaggy Featuring Rayvon,27,7FDV5ELOJHCGLe52AnttEd
2001,Fill Me In,Craig David,27,0UzsDmdpw0Q14KU4hieQss
2001,Stutter,Joe Featuring Mystikal,26,7FWuzwapuKHTEyDJIcQOw3
2001,I'm Real,Jennifer Lopez Featuring Ja Rule,26,6MLsahMK3VvH9NUwXOktdS
2001,Again,Lenny Kravitz,25,5c1QJAiC3773EwiZLwHf5x
2001,Put It On Me,Ja Rule Featuring Lil' Mo & Vita,25,0OvwzS8FX73Bw7ykMRmffU
2001,Only Time,Enya,25,6FLwmdmW77N1Pxb1aWsZmO
2001,I'm Like A Bird,Nelly Furtado,24,2aGw77pZqli064JiPuXYRi
2001,Get Ur Freak On,"Missy ""Misdemeanor"" Elliott",24,6zsk6uF3MxfIeHPlubKBvR
2001,U Remind Me,Usher,24,2QsZVnbWVSjKMXK6K3uRBL
2001,Butterfly,Crazy Town,23,4BggEwLhGfrbrl7JBhC8EC
2001,The Space Between,Dave Matthews Band,23,2zj1zujNxjBMBdfkm5uY2o
2001,Family Affair,Mary J. Blige,23,3aw9iWUQ3VrPQltgwvN9Xu
2001,Differences,Ginuwine,23,0Uyh92tLyb9JawG8lmWCzJ
2001,Missing You,Case,22,0CmXXEwul09Kf8X68lPA5l
2001,All For You,Janet,22,5X8kkUaUlAyAUr9TYqDFTH
