Year,Number of Weeks On Top,Spotify ID,track_name,track_artist,track_popularity,genre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,duration_ms
2001,20,5t2gSYVvBV9kH4t7Czertq,There You'll Be,Faith Hill,60.0,"pop, country",0.321,0.511,-7.77,0.0306,0.513,0.0,0.17,128.98,222120.0
2001,20,2WQAknZHrJAEQOFXe0F44P,Austin,Blake Shelton,0.0,country,0.603,0.609,-7.063,0.0278,0.188,0.0,0.275,119.911,230333.0
2001,20,3lv1Xz36O5qQca8A3uXTTj,Gettin' in the Way,Jill Scott,33.0,r&b,0.632,0.41,-11.239,0.127,0.128,8.67e-06,0.396,136.191,236493.0
2001,20,0C9jZPUv4SuaXkuEQw6L40,I'm A Believer - Radio Edit,Smash Mouth,3.0,alt-rock,0.559,0.972,-3.524,0.0639,0.0198,6.4e-06,0.92,82.336,183400.0
2001,20,57BrRMwf9LrcmuOsyGilwr,Crawling,Linkin Park,76.0,alternative,0.58,0.702,-5.565,0.0337,0.0466,3.2e-06,0.299,105.076,208960.0
2002,41,4w1lzcaoZ1IC2K5TwjalRP,A Thousand Miles,Vanessa Carlton,76.0,pop,0.56,0.825,-3.862,0.0379,0.323,0.0,0.268,94.931,237493.0
2002,36,0FLBNqc5oAiTt4J2e3fe3y,Blurry,Puddle Of Mudd,65.0,rock,0.431,0.938,-4.507,0.0542,0.00805,0.0,0.523,157.462,304000.0
2002,35,3nlT74t8h4XlV1D72pErhj,Wasting My Time,Default,40.0,"rock, pop, metal",0.443,0.769,-5.529,0.0312,0.00138,0.0,0.17,147.973,268693.0
2002,35,5WavgurgGX48eZv1q1E3on,Gimme the Light,Sean Paul,61.0,dancehall,0.778,0.761,-5.529,0.0525,0.141,4.61e-05,0.923,107.288,228000.0
2002,33,6GG73Jik4jUlQCkKg9JuGO,The Middle,Jimmy Eat World,13.0,rock,0.634,0.886,-3.466,0.0517,0.0291,0.0,0.922,161.933,168253.0
2002,32,6zMUIb4uce1CzpbjR3vMdN,Foolish,Ashanti,71.0,r&b,0.665,0.696,-5.763,0.0521,0.337,0.0,0.711,90.116,227387.0
2002,29,60a0Rd6pjrkxjPbaKzXjfq,In the End,Linkin Park,83.0,rock,0.556,0.864,-5.87,0.0584,0.00958,0.0,0.4,105.143,216880.0
2002,27,0KT6DLAELYSbgfUemzwGPX,Heaven (featuring Do),DJ Sammy,64.0,pop,0.565,0.942,-6.821,0.0518,0.00107,0.000393,0.569,137.972,235000.0
2002,26,04KTF78FFg8sOHC1BADqbY,Hot In Herre,Nelly,71.0,rap,0.956,0.745,-4.753,0.12,0.206,0.0,0.912,107.075,228240.0
2002,26,1PB6gllaq5kUUSpb5jzWjn,If I Could Go! (feat. Lil' Mo & Sacario),Angie Martinez,40.0,pop,0.583,0.643,-7.486,0.355,0.171,0.0,0.7,195.685,244466.0
2002,25,0ARK753YaiJbpLUk7z5yIM,Dilemma,Nelly,77.0,rap,0.727,0.552,-8.074,0.14,0.227,0.000164,0.607,168.189,289160.0
2002,24,2Zh6XtOWdtcY6GdosPU9bF,More Than A Woman,Aaliyah,3.0,r&b,0.628,0.62,-7.706,0.0756,0.0739,0.000315,0.715,86.981,229040.0
2002,23,3SHSWxOXqCrw55LiXAB8J1,I'm Gonna Be Alright,Jennifer Lopez,0.0,r&b,0.749,0.692,-4.499,0.27,0.11,0.0,0.764,93.901,171627.0
2002,23,6CbcdeTQKj0qTaZTt0xkdk,Happy,Ashanti,62.0,r&b,0.727,0.515,-6.553,0.0289,0.24,3.65e-06,0.696,89.488,262227.0
2002,22,4wHkV6OpCanrNg2PRNhWjM,Rock Wit U (Awww Baby),Ashanti,64.0,r&b,0.71,0.795,-3.005,0.0593,0.409,0.0,0.852,94.997,209120.0
2002,21,4X1odWLrLSSahaK6Hi15AA,Oh Boy,Cam’ron,65.0,rap,0.754,0.767,-5.587,0.186,0.0214,0.0,0.815,83.014,204707.0
2002,21,023lag1AgeOf7YChojecRu,Gotta Get Thru This - D'N'D Radio Edit,Daniel Bedingfield,46.0,pop,0.836,0.762,-5.044,0.0598,0.0826,5.48e-05,0.941,133.592,162333.0
2002,20,2hNf1rawV2XAZ6Jld2Fxwf,Always On Time,Ja Rule,72.0,r&b,0.84,0.706,-6.104,0.2,0.208,0.0,0.839,96.673,245133.0
2002,20,1PAgmT6YqGhd6zT9kN9gIo,Hero,Enrique Iglesias,70.0,latin,0.346,0.641,-5.627,0.0504,0.136,8.4e-06,0.159,77.281,264240.0
2002,20,4anDsZBavxjw3Ktw6ICGYd,Escape,Enrique Iglesias,59.0,latin,0.776,0.844,-5.305,0.0297,0.0277,0.000244,0.868,125.972,208626.0
2002,20,3gAZuCwnlRkAjcnP1Q4yzu,For You,Staind,53.0,rock,0.318,0.958,-2.683,0.442,0.0603,4.68e-06,0.3,163.089,206200.0
2002,20,6QxuZMdsElzjC1NnXUfl8c,Full Moon,Brandy,57.0,r&b,0.611,0.654,-4.823,0.139,0.372,0.00432,0.609,105.922,248933.0
2002,20,2LrvK045zLQyt4s9n1QSBA,Someone To Love You,Ruff Endz,48.0,r&b,0.637,0.678,-2.21,0.0345,0.0543,0.0,0.426,77.928,297360.0
2002,20,2RLpFEf6d0708O7Bqhjyxg,Days Go By,Dirty Vegas,48.0,Dance/Electronic,0.786,0.853,-8.274,0.0688,0.0499,0.0872,0.309,126.99,432146.0
2002,20,1f2V8U1BiWaC9aJWmpOARe,By the Way,Red Hot Chili Peppers,74.0,rock,0.451,0.97,-4.938,0.107,0.0264,0.00355,0.198,122.444,216933.0
2002,20,,Down 4 U,Charli Baltimore,47.0,pop,0.64,0.59,-7.442,0.32,0.252,0.0,0.519,83.133,318213.0
2003,41,6Bm6qUCSatPAqkQllFL7oA,Unwell,Matchbox Twenty,62.0,rock,0.442,0.793,-5.152,0.0347,0.0456,0.0,0.437,80.985,237267.0
2003,39,3WbphvawbMZ8FyqDxYGdSQ,When I'm Gone,3 Doors Down,69.0,rock,0.496,0.765,-5.66,0.033,0.00457,0.0,0.337,74.072,260507.0
2003,35,2ajUxpHW8NJWV6LnbhaZTI,Get Low featuring Ying Yang Twins,Lil Jon & The East Side Boyz,64.0,rap,0.771,0.621,-7.453,0.0376,0.0295,0.0,0.154,101.013,334067.0
2003,34,5dNfHmqgr128gMY2tc5CeJ,Ignition (Remix),R. Kelly,9.0,pop,0.787,0.527,-6.981,0.0512,0.0615,0.0,0.807,133.107,187733.0
2003,32,6bK9BH9Ts8Gj5JFvnQkzak,Get Busy,Sean Paul,71.0,rap,0.735,0.824,-4.143,0.036,0.615,0.0,0.726,100.202,211666.0
2003,32,0COqiPhxzoWICwFCS4eZcp,Bring Me To Life,Evanescence,78.0,rock,0.331,0.943,-3.188,0.0698,0.00721,2.06e-06,0.296,94.612,235893.0
2003,31,5dWfl2PBpKHpBVdz95wxK1,No Letting Go,Wayne Wonder,63.0,"hip hop, R&B",0.496,0.819,-5.656,0.0444,0.0479,0.000215,0.317,100.215,202013.0
2003,30,7iL6o9tox1zgHpKUfh9vuC,In Da Club,50 Cent,45.0,rap,0.906,0.663,-3.955,0.355,0.325,0.0,0.847,90.042,193467.0
2003,28,4tK4ARuilOrBzwVQK73E0Y,The Remedy (I Won't Worry),Jason Mraz,35.0,acoustic,0.589,0.867,-4.523,0.0385,0.041,0.0,0.795,94.52,256440.0
2003,26,1Jm1I3APcmVz3MqPr5vfTx,So Into You,Tamia,64.0,r&b,0.656,0.479,-7.055,0.0348,0.0665,0.00272,0.708,184.374,261867.0
2003,25,1OKwog5Da5Zli6SJSaUjpt,Miss You - Main,Aaliyah,36.0,"hip hop, pop, R&B",0.602,0.34,-9.867,0.0375,0.618,0.0,0.511,109.598,245240.0
2003,25,3OUApyz3jDB3syGUNGqB1d,How You Gonna Act Like That,Tyrese,60.0,r&b,0.733,0.521,-3.657,0.0457,0.107,0.0,0.525,112.913,294693.0
2003,25,3G0yz3DZn3lfraledmBCT0,P.I.M.P. - Snoop Dogg Remix,50 Cent,56.0,rap,0.677,0.698,-5.793,0.352,0.0935,0.0,0.83,78.443,288573.0
